MCReject   xShift: 9.46594 crossingAngle: 14.9311 axialRotation: -95.0227 zShift: 6.85323 energy: 10.7826
MCReject   xShift: 9.44618 crossingAngle: 14.7712 axialRotation: -95.0227 zShift: 6.85323 energy: 11.9573
MCReject   xShift: 9.46594 crossingAngle: 14.7712 axialRotation: -95.0227 zShift: 6.84221 energy: 12.0099
MCReject   xShift: 9.46594 crossingAngle: 14.7712 axialRotation: -95.0227 zShift: 6.85281 energy: 11.9594
MCReject   xShift: 9.46594 crossingAngle: 14.7712 axialRotation: -95.0227 zShift: 6.85316 energy: 11.9577
MCReject   xShift: 9.48067 crossingAngle: 14.7712 axialRotation: -95.0227 zShift: 6.85323 energy: 11.9573
MCReject   xShift: 9.46594 crossingAngle: 14.6631 axialRotation: -95.0227 zShift: 6.85323 energy: 11.9573
MCReject   xShift: 9.46594 crossingAngle: 14.7712 axialRotation: -95.1847 zShift: 6.85323 energy: 10.7826
MCReject   xShift: 9.44095 crossingAngle: 14.7712 axialRotation: -95.0227 zShift: 6.85323 energy: 10.857
MCReject   xShift: 9.46594 crossingAngle: 14.7712 axialRotation: -94.9459 zShift: 6.85323 energy: 11.9573
MCReject   xShift: 9.45951 crossingAngle: 14.7712 axialRotation: -95.0227 zShift: 6.85323 energy: 10.7826
MCReject   xShift: 9.46379 crossingAngle: 14.7712 axialRotation: -95.0227 zShift: 6.85323 energy: 11.9573
MCReject   xShift: 9.46594 crossingAngle: 14.7712 axialRotation: -95.038 zShift: 6.85323 energy: 11.9573
MCReject   xShift: 9.46594 crossingAngle: 14.8851 axialRotation: -95.0227 zShift: 6.85323 energy: 11.1793
MCReject   xShift: 9.46257 crossingAngle: 14.7712 axialRotation: -95.0227 zShift: 6.85323 energy: 10.7826
MCReject   xShift: 9.46594 crossingAngle: 14.7712 axialRotation: -95.0227 zShift: 6.85352 energy: 11.2523
MCReject   xShift: 9.47744 crossingAngle: 14.7712 axialRotation: -95.0227 zShift: 6.85323 energy: 10.857
MCReject   xShift: 9.47915 crossingAngle: 14.7712 axialRotation: -95.0227 zShift: 6.85323 energy: 11.2541
MCAccept 17 xShift: 9.46594 crossingAngle: 14.7638 axialRotation: -95.0227 zShift: 6.85323 energy: 10.7826
MCReject   xShift: 9.46594 crossingAngle: 14.4981 axialRotation: -95.0227 zShift: 6.85323 energy: 10.857
MCReject   xShift: 9.46594 crossingAngle: 14.6974 axialRotation: -95.0227 zShift: 6.85323 energy: 11.1798
MCAccept 18 xShift: 9.45793 crossingAngle: 14.7638 axialRotation: -95.0227 zShift: 6.85323 energy: 10.7826
MCAccept 19 xShift: 9.45793 crossingAngle: 14.7638 axialRotation: -95.0062 zShift: 6.85323 energy: 10.7826
MCAccept 20 xShift: 9.45793 crossingAngle: 14.6164 axialRotation: -95.0062 zShift: 6.85323 energy: 10.7826
MCReject   xShift: 9.45793 crossingAngle: 14.6164 axialRotation: -95.0062 zShift: 6.86536 energy: 11.8996
MCReject   xShift: 9.45793 crossingAngle: 14.6164 axialRotation: -95.0062 zShift: 6.86268 energy: 11.2119
MCReject   xShift: 9.45793 crossingAngle: 14.5896 axialRotation: -95.0062 zShift: 6.85323 energy: 11.2536
MCAccept 21 xShift: 9.45793 crossingAngle: 14.5378 axialRotation: -95.0062 zShift: 6.85323 energy: 10.857
