Thread 21 energy 60.8496 is lower than cutoff (100), continue
Thread 29 energy 67.3626 is lower than cutoff (100), continue
Thread 18 energy 65.1613 is lower than cutoff (100), continue
Thread 17 energy 28.0344 is lower than cutoff (100), continue
Thread 24 energy 14.3521 is lower than cutoff (100), continue
Thread 20 energy 16.095 is lower than cutoff (100), continue
Thread 25 energy 60.1889 is lower than cutoff (100), continue
Thread 23 energy 47.2891 is lower than cutoff (100), continue
Thread 27 energy 32.8525 is lower than cutoff (100), continue
Thread 28 energy 16.6917 is lower than cutoff (100), continue
Thread 19 energy 30.0792 is lower than cutoff (100), continue
Thread 22 energy 62.754 is lower than cutoff (100), continue
Thread 26 energy 66.1377 is lower than cutoff (100), continue
Total Time: 41 minutes
