runNumber,xShift,crossingAngle,negAngle,axialRotation,negRot,zShift,density,interface
2187,8.963,43.2812,True,96.6397,True,2.3475,0.91,000110011001100110000
2190,8.7847,44.4948,True,49.0027,True,1.7524,0.97,000110011001100110000
2191,8.088,35.4274,True,83.686,True,3.9979,1.0,000110011001100110000
2192,8.5064,35.0,True,63.1588,True,0.8738,1.0,000110011001100110000
2193,8.8659,35.7826,True,91.4614,True,2.6375,0.95,000110011001100110000
2194,8.0324,38.1162,True,67.5691,True,3.9988,1.0,000110011001100110000
2195,8.8299,37.9358,True,89.2653,True,2.6261,0.99,000110011001100110000
2196,8.3454,35.0,True,76.235,True,5.1225,1.0,000110011001100110000
2197,9.0,38.4144,True,76.2164,True,0.8086,0.99,000110011001100110000
2198,8.8056,37.1531,True,81.5567,True,0.1647,0.98,000110011001100110000
2206,8.6228,42.7042,True,48.558,True,2.8725,0.94,000110011001100110000
2207,8.1807,45.0,True,83.5681,True,5.4795,0.99,000110011001100110000
2208,8.7864,44.0902,True,85.3595,True,3.9234,1.0,000110011001100110000
2212,8.2189,40.7275,True,68.4727,True,0.2561,0.98,000110011001100110000
2213,8.3321,45.0,True,54.0045,True,0.9347,0.94,000110011001100110000
2215,8.0685,42.9412,True,88.8318,True,0.2312,0.98,000110011001100110000
2220,8.3869,37.4474,True,93.3047,True,4.1223,1.0,000110011001100110000
2222,8.7739,42.2769,True,75.0794,True,5.0082,1.0,000110011001100110000
2223,8.9398,44.2062,True,56.6682,True,2.1371,1.0,000110011001100110000
2224,8.9332,40.6834,True,82.8804,True,3.6286,1.0,000110011001100110000
2225,8.1149,43.9115,True,75.4798,True,3.6243,1.0,000110011001100110000
2226,8.8351,45.0,True,77.1212,True,4.8617,1.0,000110011001100110000
2227,8.0,37.2706,True,87.7438,True,3.7327,1.0,000110011001100110000
2228,8.0269,35.9922,True,63.6602,True,3.6289,1.0,000110011001100110000
2230,8.8536,41.3502,True,88.7529,True,2.6634,1.0,000110011001100110000
2231,8.9112,39.2142,True,55.2683,True,5.5914,0.98,000110011001100110000
2232,8.3571,40.1235,True,83.1825,True,5.125,0.99,000110011001100110000
2235,8.0964,45.0,True,81.346,True,1.8851,1.0,000110011001100110000
2236,8.0,37.1641,True,59.4252,True,2.6196,0.92,000110011001100110000
2239,8.062,43.9619,True,66.9175,True,4.1869,1.0,000110011001100110000
2242,9.0,44.3531,True,95.9818,True,3.18,0.91,000110011001100110000
2243,8.0853,44.4093,True,88.1519,True,1.5167,1.0,000110011001100110000
2244,8.0348,36.3865,True,63.7211,True,4.9087,1.0,000110011001100110000
2246,9.0,35.0,True,84.636,True,0.9583,0.99,000110011001100110000
2247,8.2012,37.089,True,73.261,True,1.1465,1.0,000110011001100110000
2248,9.0,44.5429,True,49.0644,True,2.0451,0.97,000110011001100110000
2250,8.0,38.0796,True,73.8393,True,5.4307,1.0,000110011001100110000
2251,8.5699,35.4007,True,91.7669,True,2.9262,0.84,000110011001100110000
2252,8.7898,44.5507,True,81.2872,True,5.5096,0.98,000110011001100110000
2256,8.5751,35.0,True,86.8525,True,5.1537,0.98,000110011001100110000
2257,8.6986,42.0148,True,51.5422,True,1.5431,0.99,000110011001100110000
2258,8.844,40.833,True,85.3931,True,0.2944,0.98,000110011001100110000
2260,8.5976,38.9591,True,54.365,True,1.754,0.95,000110011001100110000
2262,8.3984,41.3335,True,78.3958,True,2.4418,1.0,000110011001100110000
2263,8.6807,39.9649,True,82.9453,True,2.17,1.0,000110011001100110000
2266,8.6863,44.1281,True,93.863,True,4.2122,0.94,000110011001100110000
2267,8.2012,39.1792,True,60.7504,True,0.6681,0.98,000110011001100110000
2269,8.1515,41.968,True,80.8098,True,3.4329,1.0,000110011001100110000
2273,8.0981,45.0,True,51.0459,True,0.7246,0.85,000110011001100110000
2274,8.43,37.6325,True,64.0961,True,1.5758,1.0,000110011001100110000
2279,8.5591,44.8257,True,63.3318,True,0.5263,1.0,000110011001100110000
2280,8.4065,44.6559,True,49.5493,True,4.0359,0.94,000110011001100110000
2281,8.1774,42.3201,True,67.3991,True,5.3005,1.0,000110011001100110000
2282,9.0,45.0,True,77.2449,True,5.2983,0.98,000110011001100110000
2284,8.5501,38.3089,True,56.902,True,0.0621,0.98,000110011001100110000
2287,8.3343,42.6703,True,84.3646,True,4.418,1.0,000110011001100110000
2288,9.0,42.8643,True,86.7132,True,0.6509,0.99,000110011001100110000
2292,8.9126,41.0521,True,72.3775,True,4.2956,1.0,000110011001100110000
2297,8.9077,39.9469,True,54.2047,True,4.6107,0.99,000110011001100110000
2298,8.4387,39.1389,True,66.3868,True,1.1655,1.0,000110011001100110000
2300,8.9763,40.5911,True,92.5568,True,4.9589,0.94,000110011001100110000
2303,9.0,45.0,True,81.7293,True,0.3468,0.98,000110011001100110000
2304,8.715,42.798,True,82.9124,True,4.7152,1.0,000110011001100110000
2305,8.9959,43.3689,True,73.9736,True,1.3111,1.0,000110011001100110000
2308,8.8657,36.0527,True,73.1908,True,2.2938,1.0,000110011001100110000
2310,8.5533,35.107,True,92.5093,True,2.9857,0.91,000110011001100110000
2311,8.452,45.0,True,82.8813,True,5.9238,0.99,000110011001100110000
2312,8.2922,35.0,True,54.3902,True,0.5274,0.9,000110011001100110000
2313,8.4549,43.5176,True,53.6517,True,0.8813,0.92,000110011001100110000
2314,8.8745,35.1254,True,56.8291,True,5.13,1.0,000110011001100110000
2316,8.0949,35.0,True,89.1394,True,2.4487,0.94,000110011001100110000
2317,8.0672,43.7221,True,73.3677,True,2.6328,1.0,000110011001100110000
2318,9.0,42.9759,True,77.3923,True,3.3133,1.0,000110011001100110000
2319,8.8782,38.3789,True,56.6676,True,1.1995,1.0,000110011001100110000
2322,8.2275,37.5015,True,81.0078,True,0.7547,0.98,000110011001100110000
2328,8.3793,35.8299,True,73.4773,True,5.9346,0.98,000110011001100110000
2336,8.3994,37.4904,True,88.8187,True,1.9763,1.0,000110011001100110000
2338,9.0,45.0,True,83.3376,True,5.1226,0.98,000110011001100110000
2341,8.8335,36.6022,True,84.459,True,4.0473,1.0,000110011001100110000
2342,8.2156,44.049,True,85.4319,True,4.0356,0.95,000110011001100110000
2344,8.3185,44.3853,True,77.4267,True,1.2021,1.0,000110011001100110000
2347,8.0,35.7606,True,80.7227,True,4.2607,0.96,000110011001100110000
2351,8.197,38.3056,True,57.2941,True,1.68,1.0,000110011001100110000
2354,9.0,44.5796,True,68.5602,True,4.8021,1.0,000110011001100110000
2356,8.2984,38.299,True,80.4952,True,5.8221,0.98,000110011001100110000
2359,8.6667,44.9705,True,79.2241,True,1.2424,1.0,000110011001100110000
2361,8.1414,38.5925,True,72.8334,True,2.9783,1.0,000110011001100110000
2362,8.818,35.5102,True,89.8188,True,5.442,0.99,000110011001100110000
2363,9.0,43.3797,True,50.3856,True,3.322,0.99,000110011001100110000
2367,8.1486,42.3132,True,66.4129,True,5.21,0.98,000110011001100110000
2370,8.1991,41.037,True,59.9529,True,3.6287,1.0,000110011001100110000
