runNumber,xShift,crossingAngle,negAngle,axialRotation,negRot,zShift,density,interface
4161,7.4889,40.8931,True,69.8923,True,1.1902,1.0,000110011001100110000
4163,7.4857,35.5804,True,55.7318,True,1.374,1.0,000110011001100110000
4164,7.4748,38.6864,True,36.1864,True,4.4252,1.0,000110011001100110000
4166,6.7847,35.0,True,60.212,True,3.4731,1.0,000110011001100110000
4167,7.2096,41.5307,True,45.0381,True,0.9789,0.99,000110011001100110000
4168,7.1438,42.8435,True,51.0798,True,0.2057,0.99,000110011001100110000
4169,7.023,41.7627,True,69.7818,True,5.3805,0.93,000110011001100110000
4170,7.3949,38.3126,True,83.8652,True,2.0456,0.93,000110011001100110000
4174,7.0035,39.6499,True,34.965,True,4.7424,0.98,000110011001100110000
4178,6.7893,36.0241,True,51.0441,True,2.6952,1.0,000110011001100110000
4180,7.3621,36.8317,True,47.8222,True,2.1427,1.0,000110011001100110000
4182,6.6708,37.9291,True,51.0518,True,1.7143,1.0,000110011001100110000
4186,7.4428,38.412,True,49.9818,True,1.316,1.0,000110011001100110000
4187,7.3305,41.8685,True,50.2097,True,3.8953,1.0,000110011001100110000
4188,7.4421,38.8269,True,20.6169,True,3.1403,0.84,000110011001100110000
4192,6.8684,45.0,True,60.9952,True,2.3709,1.0,000110011001100110000
4193,7.5,40.8432,True,75.5554,True,1.6331,0.93,000110011001100110000
4196,7.041,45.0,True,42.0049,True,3.3014,1.0,000110011001100110000
4197,6.5268,35.0,True,44.7713,True,1.1737,1.0,000110011001100110000
4198,6.839,43.7016,True,60.8563,True,5.0499,0.96,000110011001100110000
4199,6.5231,45.0,True,38.1576,True,1.1496,0.95,000110011001100110000
4200,7.3254,37.48,True,53.6154,True,0.9072,0.98,000110011001100110000
4201,7.4308,37.5681,True,49.4969,True,0.9669,0.98,000110011001100110000
4203,7.4513,35.8075,True,35.576,True,4.0458,1.0,000110011001100110000
4204,7.5,38.2212,True,6.7425,True,0.8287,0.99,000110011001100110000
4207,7.2363,35.0,True,67.537,True,4.4497,1.0,000110011001100110000
4208,6.8423,36.6238,True,59.7602,True,1.7903,1.0,000110011001100110000
4218,7.3162,42.7136,True,24.1928,True,2.4603,1.0,000110011001100110000
4220,6.5,42.618,True,51.5632,True,4.5843,1.0,000110011001100110000
4222,7.3038,35.0,True,37.011,True,1.3831,0.97,000110011001100110000
4224,7.5,39.7062,True,83.0268,True,4.3035,0.93,000110011001100110000
4226,7.3551,38.6687,True,29.5135,True,4.9117,1.0,000110011001100110000
4227,6.9104,38.6839,True,59.1137,True,5.2937,0.98,000110011001100110000
4231,6.5,45.0,True,50.8883,True,3.9338,1.0,000110011001100110000
